id size
8 42
20 30
24 26
9 41
11 39
3 47
25 25
9 41
24 26
20 30
1 49
6 44
13 37
3 47
28 22
24 26
8 42
20 30
11 39
23 27
4 46
20 30
10 40
18 32
11 39
4 46
10 40
19 31
27 23
26 24
8 42
27 23
3 47
8 42
21 29
4 46
20 30
20 30
10 40
22 28
8 42
3 47
14 36
7 43
6 44
6 44
9 41
2 48
25 25
8 42
12 38
24 26
29 21
5 45
29 21
21 29
25 25
27 23
1 49
14 36
23 27
17 33
10 40
15 35
12 38
14 36
28 22
19 31
19 31
14 36
29 21
2 48
26 24
14 36
16 34
5 45
24 26
7 43
6 44
30 20
16 34
5 45
10 40
2 48
18 32
6 44
16 34
15 35
22 28
19 31
19 31
24 26
6 44
23 27
13 37
27 23
17 33
28 22
9 41
25 25
35 67
